cpu usage (%)	total memory	available memory	used memory	memory usage (%)
14.2	4101160960	681365504	2930470912	83.4
60.6	4101160960	628191232	3022737408	84.7
23.3	4101160960	617160704	3033772032	85.0
23.6	4101160960	616919040	3034001408	85.0
23.3	4101160960	616960000	3033948160	85.0
23.7	4101160960	616230912	3034689536	85.0
